efa,9938379,9139,10,48
efb,9974785,8173,50,138
efc,9591135,8977,63,109
efd,9984992,8781,131,309
efe,9989781,9288,91,185
eff,9871847,10698,6,19
efg,9898889,9507,66,181
ega,9728754,8642,486,737
egb,9869339,7920,195,280
egc,9988013,8583,80,201
egd,9851657,11733,197,304
ege,9787363,8842,124,192
egf,9915383,9625,82,156
egg,9537838,8568,120,243
faa,9468478,8701,191,283
fab,9984710,8378,74,149
fac,9742836,8360,219,348
fad,9949476,7909,129,258
fae,9986985,10157,170,284
faf,9803705,8557,354,651
fag,9943358,7751,226,381
fba,9919624,8237,301,415
fbb,9965295,7851,77,219
fbc,9957663,8856,101,177
fbd,9989314,8324,77,155
fbe,9989374,7785,105,274
fbf,9935034,10424,5,14
fbg,9877453,7602,65,191
fca,9758378,8453,62,108
fcb,9706137,11847,177,344
fcc,9920104,9158,41,98
fcd,9761179,8209,55,146
fce,9852552,8807,132,214
fcf,9859294,9406,45,100
fcg,9818798,9352,196,363
fda,9935666,9128,152,275
fdb,9700315,9824,59,222
fdc,9784446,10154,140,293
fdd,9938245,7858,67,146
fde,9531763,9690,186,330
fdf,9966247,11232,146,360
fdg,9466303,10015,527,779
fea,9997852,10212,5,12
feb,9785419,8781,61,153
fec,9798521,9053,17,56
fed,9827908,8618,59,113
fee,9910762,9026,199,394
fef,9776525,8724,502,751
feg,9524255,9460,205,328
ffa,9923470,11343,5,9
ffb,9584443,8536,81,127
ffc,9734072,7376,154,266
ffd,9825517,8548,114,229
ffe,9575399,8937,145,277
fff,9987440,10013,189,405
ffg,9969373,6424,48,93
fga,9951303,7684,130,172
fgb,9938555,9658,119,240
fgc,9989549,8656,76,168
fgd,9659373,8076,59,150
fge,9773274,9104,8,22
fgf,9758348,8753,225,384
fgg,9984409,6962,117,256
gaa,9304503,10194,21,66
gab,9985382,8459,107,292
gac,9695062,10163,213,359
gad,9930800,7989,100,182
gae,9880392,9631,830,1711
gaf,9960254,10250,512,845
gag,9925676,7413,22,44
gba,9250047,10377,105,164
gbb,9943705,7566,6,13
gbc,9801977,9384,80,171
gbd,9961289,8926,581,1105
gbe,9871188,8950,98,211
gbf,9961388,8203,69,210
gbg,9896396,8221,305,638
gca,9975414,8189,206,352
gcb,9940056,8065,99,293
gcc,9507363,8810,62,105
gcd,9709630,10410,13,42
gce,9984287,9840,103,283
gcf,9814908,8485,166,253
gcg,9712060,8867,11,21
gda,9801287,9372,72,154
gdb,9807274,9607,124,315
gdc,9744922,9040,81,148
gdd,9779598,10702,70,119
gde,9971232,8814,165,261
gdf,9965862,8262,273,570
gdg,9909972,9033,75,179
gea,9959742,8973,114,270
geb,9982536,11106,121,181
gec,9938518,8203,623,1231
ged,9577390,6578,66,169
gee,9642736,9284,114,171
gef,9884763,9367,49,141
geg,9715278,8417,56,117
gfa,9756320,8286,80,161
gfb,9758369,7741,16,30
gfc,9868224,9727,145,260
gfd,9764019,7673,62,164
gfe,9835873,8167,55,146
gff,9879558,9821,9,53
gfg,9652507,7563,376,566
gga,9420851,7780,234,487
ggb,9997307,10993,34,67
ggc,9999358,9692,34,96
ggd,9959017,7810,157,271
gge,9609349,9841,120,280
ggf,9764785,8107,286,462
ggg,9744016,7203,5,14
